Driver,Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,AverageSpeed,AvgSpeedGap,Year,GrandPrix
VET,0 days 01:23:51.407240,257.88,284.82,283.36,307.9,283.49,0.0,2019,Canadian Grand Prix
HAM,0 days 01:20:53.438240740,256.2037037037037,282.77777777777777,283.98148148148147,309.94444444444446,283.22685185185185,0.26314814814816145,2019,Canadian Grand Prix
LEC,0 days 01:20:35.193191489,257.3191489361702,283.7659574468085,283.0425531914894,308.1063829787234,283.05851063829783,0.43148936170217667,2019,Canadian Grand Prix
BOT,0 days 01:18:40.164950819,254.4262295081967,281.72131147540983,281.55737704918033,307.327868852459,281.2581967213115,2.231803278688517,2019,Canadian Grand Prix
STR,0 days 01:21:42.063150943,250.9245283018868,281.20754716981133,281.6792452830189,308.37735849056605,280.54716981132077,2.9428301886792383,2019,Canadian Grand Prix
PER,0 days 01:19:44.832648148,252.16666666666666,281.2037037037037,281.24074074074076,307.3333333333333,280.4861111111111,3.0038888888889232,2019,Canadian Grand Prix
GAS,0 days 01:18:46.344125,250.23214285714286,280.3392857142857,280.39285714285717,308.0892857142857,279.7633928571429,3.7266071428571195,2019,Canadian Grand Prix
SAI,0 days 01:19:50.081603448,249.82758620689654,277.51724137931035,281.62068965517244,306.8965517241379,278.9655172413793,4.524482758620707,2019,Canadian Grand Prix
VER,0 days 01:18:27.061650,245.4,280.01666666666665,281.55,307.9166666666667,278.72083333333336,4.769166666666649,2019,Canadian Grand Prix
GIO,0 days 01:18:34.013833333,250.25925925925927,280.0740740740741,279.05555555555554,303.7037037037037,278.27314814814815,5.216851851851857,2019,Canadian Grand Prix
RIC,0 days 01:16:39.450444444,247.6851851851852,278.5925925925926,280.05555555555554,305.74074074074076,278.01851851851853,5.471481481481476,2019,Canadian Grand Prix
RAI,0 days 01:19:20.084475409,249.85245901639345,278.2295081967213,279.1967213114754,304.37704918032784,277.9139344262295,5.5760655737705065,2019,Canadian Grand Prix
HUL,0 days 01:17:44.792469387,250.6734693877551,278.0,280.16326530612247,302.6938775510204,277.8826530612245,5.607346938775493,2019,Canadian Grand Prix
